x,y,z
15.68203259,65.31362152,21.24809265
24.143713,57.16658783,3.30969644
89.33189392,73.29977417,74.13686371
95.2912674,72.16356659,70.7348175
11.00264645,58.56463623,98.67116547
37.22403717,9.46685123,43.18000412
38.66850662,81.1394043,31.63804817
61.95385361,70.13986969,66.23442841
57.83799744,74.1394577,81.34807587
88.5243988,93.61624908,56.55970383
10.99008369,59.55267334,91.55950928
31.34909058,96.59241486,34.41765976
38.78798676,93.49205017,59.1179924
56.68544006,26.0556469,51.04833603
48.92153168,29.09972572,3.82780147
85.63209534,11.49078465,95.78539276
97.98053741,70.54110718,72.61952972
40.93982697,59.99149704,52.94159317
52.64277649,76.45471191,99.21353149
60.25624466,20.95514297,82.03440094
65.17819214,87.09017944,47.89266968
97.18190765,77.47136688,14.81142712
97.78648376,97.75968933,3.71589947
7.48276377,25.22451782,1.54241705
20.75488853,63.09543228,98.19996643
24.59539986,91.29430389,69.57093811
28.88976288,21.90781784,48.49511719
35.04571533,61.0513649,21.37391472
52.492733,69.50596619,19.77191544
64.39822388,92.30357361,99.37722778
64.15911102,73.79212189,65.86785126
65.68627167,81.00324249,28.28120422
76.87898254,27.61554718,18.9430027
96.38809967,10.52122211,78.99312592
22.44880867,97.74472809,97.51712799
25.88323975,91.62342072,26.22019196
38.97187042,9.57348061,94.29756165
29.5805378,65.42160034,28.78394508
41.33475876,18.71048546,64.92004395
41.0723877,55.13089371,50.98762894
55.74707794,71.59497833,20.37356567
67.30043793,30.74604416,35.92932892
23.25671577,72.08615112,15.40665627
32.97926712,81.79375458,18.52206421
39.93641663,83.44966125,44.62493896
48.36446381,46.52952957,28.08282661
67.7088623,16.14788818,67.741539
82.32936096,99.10343933,32.72310638
2.73331857,38.02959061,24.54588699
4.10718346,82.30986786,72.17051697
21.10383034,97.11042023,29.5272007
23.36812592,69.53135681,13.42221165
40.57986832,74.96466827,66.1212616
39.96310043,75.01953125,12.51457787
47.70413971,49.70464325,44.94653702
85.02119446,75.99250031,24.0343132
86.40193176,84.55796051,29.46154594
91.16342926,76.3247757,24.95915031
97.02703857,96.47566223,8.2923584
90.73473358,86.45787811,84.93663788
60.25754166,0.65202504,33.71833801
7.9189744,38.08069611,49.78110123
16.7894268,94.43302155,71.96133423
25.16992188,76.25315094,26.97995377
28.94021988,46.81737137,17.54122925
42.97578049,65.50177765,21.16406059
73.24816895,87.04104614,15.55942917
83.47557068,27.07006454,34.53342056
2.88655901,99.74460602,70.49874115
8.01340771,38.88064957,51.11155319
20.15081978,82.65642548,53.52838898
14.9351244,57.33977127,11.58861446
39.70518494,85.43479156,48.25745773
